CMIP6 Compund Name,CF Standard Name,Physical Parameter,Units,Title,Description
3hr.evspsblsoi,water_evaporation_flux_from_soil,evspsblsoi,kg m-2 s-1,Water evaporation from soil,Water evaporation from soil
3hr.evspsblveg,water_evaporation_flux_from_canopy,evspsblveg,kg m-2 s-1,Evaporation from canopy,Evaporation from canopy
3hr.hfdsl,surface_downward_heat_flux_in_air,hfdsl,W m-2,Ground heat flux at 3hr,Ground heat flux at 3hr
3hr.mrro,runoff_flux,mrro,kg m-2 s-1,Total Runoff,"the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell divided by the land area in the grid cell, averaged over the 3-hour interval."
3hr.mrros,surface_runoff_flux,mrros,kg m-2 s-1,Surface Runoff,surface_runoff_flux
3hr.mrso100,mass_content_of_water_in_soil_layer,mrso100,kg m-2,Soil moisture in the top 1 m of the soil column,Soil moisture at 3hr but for 0-1m
3hr.mrsos,mass_content_of_water_in_soil_layer,mrsos,kg m-2,Moisture in Upper Portion of Soil Column,the mass of water in all phases in a thin surface soil layer.
3hr.srfrad,surface_net_downward_radiative_flux,srfrad,W m-2,Net radiative flux at surface,Net radiative flux at surface
3hr.tran,transpiration_flux,tran,kg m-2 s-1,Transpiration,Transpiration
3hr.tslsi,surface_temperature,tslsi,K,Surface Temperature Where Land or Sea Ice,"Surface temperature of all surfaces except open ocean, sampled synoptically."
E1hr.tas,air_temperature,tas,K,Hourly Temperature at Surface,Hourly Temperature at 2m above the surface
E1hr.tasSouth30,air_temperature,tas,K,Hourly Temperature at Surface,Hourly Temperature at 2m above the surface
Eday.dcw,change_over_time_in_canopy_water_amount,dcw,kg m-2,Change in Interception Storage,change_over_time_in_canopy_water_amount
Eday.dgw,change_over_time_in_groundwater_amount,dgw,kg m-2,Change in Groundwater,change_over_time_in_groundwater
Eday.drivw,change_over_time_in_river_water_amount,drivw,kg m-2,Change in River Storage,Change in River Storage
Eday.dslw,change_over_time_in_mass_content_of_water_in_soil,dslw,kg m-2,Change in Soil Moisture,Change in Soil Moisture
Eday.dsn,change_over_time_in_amount_of_ice_and_snow_on_land,dsn,kg m-2,Change in Snow Water Equivalent,Change in Snow Water Equivalent
Eday.dsw,change_over_time_in_land_water_amount,dsw,kg m-2,Change in Surface Water Storage,Change in Surface Water Storage
Eday.esn,water_evapotranspiration_flux,esn,kg m-2 s-1,Snow Evaporation,The flux due to conversion of liquid or solid water into vapor at the surface where there is snow on land
Eday.evspsblpot,water_potential_evaporation_flux,evspsblpot,kg m-2 s-1,Potential Evapotranspiration,water_potential_evapotranspiration_flux
Eday.evspsblsoi,water_evaporation_flux_from_soil,evspsblsoi,kg m-2 s-1,Daily water evaporation flux from soil,"Water evaporation flux from soil but for daily averages i.e., the evspsblsoi variable, which is only currently defined for monthly averages"
Eday.evspsblveg,water_evaporation_flux_from_canopy,evspsblveg,kg m-2 s-1,Daily water evaporation flux from canopy,The same as the current variable evspsblveg but defined on daily timescales.
Eday.gppVgt,gross_primary_productivity_of_biomass_expressed_as_carbon,gppVgt,kg m-2 s-1,Gross Primary Production on Vegetation type as Carbon Mass Flux [kgC m-2 s-1],"The rate of synthesis of biomass from inorganic precursors by autotrophs (""producers"") expressed as the mass of carbon which it contains. For example, photosynthesis in plants or phytoplankton. The producers also respire some of this biomass and the difference is referred to as the net primary production. Reported on land-use tiles."
Eday.lai,leaf_area_index,lai,1,Leaf Area Index,A ratio obtained by dividing the total upper leaf surface area of vegetation by the (horizontal) surface area of the land on which it grows.
Eday.laiVgt,leaf_area_index,laiVgt,1,Leaf Area Index on Vegetation type,A ratio obtained by dividing the total upper leaf surface area of vegetation by the (horizontal) surface area of the land on which it grows.
Eday.mrrob,subsurface_runoff_flux,mrrob,kg m-2 s-1,Subsurface Runoff,subsurface_runoff_flux
Eday.mrros,surface_runoff_flux,mrros,kg m-2 s-1,Surface Runoff,surface_runoff_flux
Eday.mrsfl,frozen_water_content_of_soil_layer,mrsfl,kg m-2,Frozen Water Content of Soil Layer,"in each soil layer, the mass of water in ice phase.  Reported as ""missing"" for grid cells occupied entirely by ""sea"""
Eday.mrsll,liquid_water_content_of_soil_layer,mrsll,kg m-2,Liquid Water Content of Soil Layer,"in each soil layer, the mass of water in liquid phase.  Reported as ""missing"" for grid cells occupied entirely by ""sea"""
Eday.mrsol,mass_content_of_water_in_soil_layer,mrsol,kg m-2,Total Water Content of Soil Layer,"in each soil layer, the mass of water in all phases, including ice.  Reported as ""missing"" for grid cells occupied entirely by ""sea"""
Eday.mrsow,volume_fraction_of_condensed_water_in_soil_at_field_capacity,mrsow,1,Total Soil Wetness,relative_soil_moisture_content_above_field_capacity
Eday.mrtws,land_water_amount,mrtws,kg m-2,Terrestrial Water Storage,canopy_and_surface_and_subsurface_water_amount
Eday.nppVgt,net_primary_productivity_of_biomass_expressed_as_carbon,nppVgt,kg m-2 s-1,Net Primary Production on Vegetation type as Carbon Mass Flux [kgC m-2 s-1],"""Production of carbon"" means the production of biomass expressed as the mass of carbon which it contains. Net primary production is the excess of gross primary production (rate of synthesis of biomass from inorganic precursors) by autotrophs (""producers""), for example, photosynthesis in plants or phytoplankton, over the rate at which the autotrophs themselves respire some of this biomass. ""Productivity"" means production per unit area. The phrase ""expressed_as"" is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
Eday.qgwr,downward_liquid_water_mass_flux_into_groundwater,qgwr,kg m-2 s-1,Groundwater Recharge from Soil Layer,water_flux_from_soil_layer_to_groundwater
Eday.raVgt,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,raVgt,kg m-2 s-1,Autotrophic Respiration on Vegetation type as Carbon Mass Flux [kgC m-2 s-1],Carbon mass flux per unit area into atmosphere due to autotrophic respiration on land (respiration by producers) [see rh for heterotrophic production]. Calculated on vegetation type.
Eday.rhVgt,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,rhVgt,kg m-2 s-1,Heterotrophic Respiration on Vegetation type as Carbon Mass Flux [kgC m-2 s-1],"Carbon mass flux per unit area into atmosphere due to heterotrophic respiration on land (respiration by consumers), calculated on vegetation type."
Eday.rivi,incoming_water_volume_transport_along_river_channel,rivi,m3 s-1,River Inflow,water_flux_to_downstream
Eday.rivo,outgoing_water_volume_transport_along_river_channel,rivo,m3 s-1,River Discharge,water_flux_from_upstream
Eday.rzwc,mass_content_of_water_in_soil_layer_defined_by_root_depth,rzwc,kg m-2,Root Zone Soil Moisture,water_content_of_root_zone
Eday.sw,land_surface_liquid_water_amount,sw,kg m-2,Surface Water Storage,"Total liquid water storage, other than soil, snow or interception storage (i.e. lakes, river channel or depression storage)."
Eday.tsl,soil_temperature,tsl,K,Temperature of Soil,"Temperature of each soil layer.  Reported as ""missing"" for grid cells occupied entirely by ""sea""."
Eday.wtd,water_table_depth,wtd,m,Water Table Depth,depth_of_soil_moisture_saturation
Efx.slthick,cell_thickness,slthick,m,Thickness of Soil Layers,Thickness of Soil Layers
Emon.albc,canopy_albedo,albc,1,Canopy Albedo,Canopy Albedo
Emon.c13Land,mass_content_of_13C_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,c13Land,kg m-2,Mass of 13C in All Terrestrial Carbon Pools,"Carbon-13 mass content per unit area in vegetation (any living plants e.g. trees, shrubs, grass), litter (dead plant material in or above the soil), soil, and forestry and agricultural products (e.g. paper, cardboard, furniture, timber for construction, biofuels and food for both humans and livestock)."
Emon.c13Litter,litter_mass_content_of_13C,c13Litter,kg m-2,Mass of 13C in Litter Pool,Carbon-13 mass content per unit area litter (dead plant material in or above the soil).
Emon.c13Soil,soil_mass_content_of_13C,c13Soil,kg m-2,Mass of 13C in Soil Pool,Carbon-13 mass content per unit area in soil.
Emon.c13Veg,vegetation_mass_content_of_13C,c13Veg,kg m-2,Mass of 13C in Vegetation,"Carbon-13 mass content per unit area in vegetation (any living plants e.g. trees, shrubs, grass)."
Emon.c14Land,mass_content_of_14C_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,c14Land,kg m-2,Mass of 14C in All Terrestrial Carbon Pools,"Carbon-14 mass content per unit area in vegetation (any living plants e.g. trees, shrubs, grass), litter (dead plant material in or above the soil), soil, and forestry and agricultural products (e.g. paper, cardboard, furniture, timber for construction, biofuels and food for both humans and livestock)."
Emon.c14Litter,litter_mass_content_of_14C,c14Litter,kg m-2,Mass of 14C in Litter Pool,Carbon-14 mass content per unit area litter (dead plant material in or above the soil).
Emon.c14Soil,soil_mass_content_of_14C,c14Soil,kg m-2,Mass of 14C in Soil Pool,Carbon-14 mass content per unit area in soil.
Emon.c14Veg,vegetation_mass_content_of_14C,c14Veg,kg m-2,Mass of 14C in Vegetation,only requested for DECK HIST
Emon.cLand,mass_content_of_carbon_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,cLand,kg m-2,Total Carbon in All Terrestrial Carbon Pools,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.
Emon.cLitterCwd,wood_debris_mass_content_of_carbon,cLitterCwd,kg m-2,Carbon Mass in Coarse Woody Debris,"""Content"" indicates a quantity per unit area. ""Wood debris"" means dead organic matter composed of coarse wood. It is distinct from fine litter. The precise distinction between ""fine"" and ""coarse"" is model dependent."
Emon.cLitterSubSurf,subsurface_litter_mass_content_of_carbon,cLitterSubSurf,kg m-2,Carbon Mass in Below-Ground Litter,subsurface litter pool fed by root inputs.
Emon.cLitterSurf,surface_litter_mass_content_of_carbon,cLitterSurf,kg m-2,Carbon Mass in Above-Ground Litter,Surface or near-surface litter pool fed by leaf and above-ground litterfall
Emon.cOther,miscellaneous_living_matter_mass_content_of_carbon,cOther,kg m-2,"Carbon Mass in Vegetation Components Other than Leaves, Stems and Roots","E.g. fruits, seeds, etc."
Emon.cSoil,soil_mass_content_of_carbon,cSoil,kg m-2,Carbon Mass in Model Soil Pool,Carbon mass in the full depth of the soil model.
Emon.cSoilAbove1m,carbon_mass_content_of_soil_layer,cSoilAbove1m,kg m-2,Carbon Mass in Soil Pool Above 1m Depth,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.
Emon.cSoilLevels,carbon_mass_content_of_soil_layer,cSoilLevels,kg m-2,Carbon Mass in Each Model Soil Level (Summed over All Soil Carbon Pools in That Level),"for models with vertically discretised soil carbon, report total soil carbon for each level"
Emon.cSoilPools,soil_mass_content_of_carbon,cSoilPools,kg m-2,Carbon Mass in Each Model Soil Pool (Summed over Vertical Levels),"For models with multiple soil carbon pools, report each pool here. If models also have vertical discretisation these should be aggregated"
Emon.cStem,stem_mass_content_of_carbon,cStem,kg m-2,Carbon Mass in Stem,including sapwood and hardwood.
Emon.cVegGrass,vegetation_carbon_content,cVegGrass,kg m-2,Carbon Mass in Vegetation on Grass Tiles,"""Content"" indicates a quantity per unit area. ""Vegetation"" means any plants e.g. trees, shrubs, grass. Plants are autotrophs i.e. ""producers"" of biomass using carbon obtained from carbon dioxide."
Emon.cVegShrub,vegetation_carbon_content,cVegShrub,kg m-2,Carbon Mass in Vegetation on Shrub Tiles,"""Content"" indicates a quantity per unit area. ""Vegetation"" means any plants e.g. trees, shrubs, grass. Plants are autotrophs i.e. ""producers"" of biomass using carbon obtained from carbon dioxide."
Emon.cVegTree,vegetation_carbon_content,cVegTree,kg m-2,Carbon Mass in Vegetation on Tree Tiles,"""Content"" indicates a quantity per unit area. ""Vegetation"" means any plants e.g. trees, shrubs, grass. Plants are autotrophs i.e. ""producers"" of biomass using carbon obtained from carbon dioxide."
Emon.cnc,vegetation_area_fraction,cnc,%,Canopy Covered Area Percentage,Canopy covered fraction
Emon.cropFracC3,area_fraction,cropFracC3,%,Percentage Cover by C3 Crops,Percentage of entire grid cell covered by C3 crops
Emon.cropFracC4,area_fraction,cropFracC4,%,Percentage Cover by C4 Crops,Percentage of entire grid cell covered by C4 crops
Emon.evspsblpot,water_potential_evaporation_flux,evspsblpot,kg m-2 s-1,Potential Evapotranspiration,at surface; potential flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation)
Emon.fAnthDisturb,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_land_use_or_land_cover_change_excluding_forestry_and_agricultural_products,fAnthDisturb,kg m-2 s-1,"Carbon Mass Flux from Vegetation, Litter or Soil Pools into the Atmosphere Due to any Human Activity [kgC m-2 s-1]","Anthropogenic flux of carbon as carbon dioxide into the atmosphere. That is, emissions influenced, caused, or created by human activity. Anthropogenic emission of carbon dioxide includes fossil fuel use, cement production, agricultural burning and sources associated with anthropogenic land use change, except forest regrowth."
Emon.fBNF,tendency_of_soil_and_vegetation_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_fixation,fBNF,kg m-2 s-1,Biological Nitrogen Fixation,The fixation (uptake of nitrogen gas directly from the atmosphere) of nitrogen due to biological processes.
Emon.fCLandToOcean,mass_flux_of_carbon_into_sea_water_from_rivers,fCLandToOcean,kg m-2 s-1,Lateral Transfer of Carbon out of Grid Cell That Eventually Goes into Ocean,leached carbon etc that goes into run off or river routing and finds its way into ocean should be reported here.
Emon.fDeforestToAtmos,surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,fDeforestToAtmos,kg m-2 s-1,Deforested Biomass That Goes into Atmosphere as a Result of Anthropogenic Land-Use Change [kgC m-2 s-1],"When land use change results in deforestation of natural vegetation (trees or grasslands) then natural biomass is removed. The treatment of deforested biomass differs significantly across models, but it should be straight-forward to compare deforested biomass across models."
Emon.fDeforestToProduct,carbon_mass_flux_into_forestry_and_agricultural_products_due_to_anthropogenic_land_use_or_land_cover_change,fDeforestToProduct,kg m-2 s-1,Deforested Biomass That Goes into Product Pool as a Result of Anthropogenic Land-Use Change,"When land use change results in deforestation of natural vegetation (trees or grasslands) then natural biomass is removed. The treatment of deforested biomass differs significantly across models, but it should be straight-forward to compare deforested biomass across models."
Emon.fFireAll,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires,fFireAll,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Including All Sources [kgC m-2 s-1],"From all sources,  Including natural, anthropogenic and Land-use change. Only total fire emissions can be compared to observations."
Emon.fFireNat,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_fires,fFireNat,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Natural Fire [kgC m-2 s-1],CO2 emissions from natural fires
Emon.fHarvestToAtmos,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_crop_harvesting,fHarvestToAtmos,kg m-2 s-1,Harvested Biomass That Goes Straight into Atmosphere as Carbon Mass Flux [kgC m-2 s-1],any harvested carbon that is assumed to decompose immediately into the atmosphere is reported here
Emon.fHarvestToProduct,mass_flux_of_carbon_into_forestry_and_agricultural_products_due_to_crop_harvesting,fHarvestToProduct,kg m-2 s-1,Harvested Biomass That Goes into Product Pool,"be it food or wood harvest, any carbon that is subsequently stored is reported here"
Emon.fLitterFire,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_litter_in_fires,fLitterFire,kg m-2 s-1,"Carbon Mass Flux from Litter, CWD or any non-Living Pool into Atmosphere Due to CO2 Emission from All Fire [kgC m-2 s-1]","Required for unambiguous separation of vegetation and soil + litter turnover times, since total fire flux draws from both sources"
Emon.fLuc,surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,fLuc,kg m-2 s-1,Net Carbon Mass Flux into Atmosphere Due to Land-Use Change [kgC m-2 s-1],Net Carbon Mass Flux into Atmosphere due to Land Use Change
Emon.fLulccAtmLut,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_land_use_or_land_cover_change_excluding_forestry_and_agricultural_products,fLulccAtmLut,kg m-2 s-1,Carbon Transferred Directly to Atmosphere Due to any Land-Use or Land-Cover Change Activities [kgC m-2 s-1],"This annual mean flux refers to the transfer of carbon directly to the atmosphere due to any land-use or land-cover change activities.  Include carbon transferred due to deforestation or agricultural directly into atmosphere, and  emissions form anthropogenic pools into atmosphere"
Emon.fN2O,surface_upward_mass_flux_of_nitrous_oxide_expressed_as_nitrogen_out_of_vegetation_and_litter_and_soil,fN2O,kg m-2 s-1,Total Land N2O Flux,"Surface upward flux of nitrous oxide (N2O) from vegetation (any living plants e.g. trees, shrubs, grass), litter (dead plant material in or above the soil), soil."
Emon.fNAnthDisturb,tendency_of_atmosphere_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_anthropogenic_emission,fNAnthDisturb,kg m-2 s-1,Nitrogen Mass Flux out of Land Due to any Human Activity,"will require some careful definition to make sure we capture everything - any human activity that releases nitrogen from land  instead of into product pool goes here. E.g. Deforestation fire, harvest assumed to decompose straight away, grazing..."
Emon.fNLandToOcean,mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_into_sea_from_rivers,fNLandToOcean,kg m-2 s-1,Lateral Transfer of Nitrogen out of Grid Cell That Eventually Goes into Ocean,leached nitrogen etc that goes into run off or river routing and finds its way into ocean should be reported here.
Emon.fNLitterSoil,nitrogen_mass_flux_into_soil_from_litter,fNLitterSoil,kg m-2 s-1,Total Nitrogen Mass Flux from Litter to Soil,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. ""Litter"" is dead plant material in or above the soil."
Emon.fNOx,surface_upward_mass_flux_of_nox_expressed_as_nitrogen_out_of_vegetation_and_litter_and_soil,fNOx,kg m-2 s-1,Total Land NOx Flux,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Upward"" indicates a vector component which is positive when directed upward (negative downward). In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. The phrase ""expressed_as"" is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. ""Nox"" means a combination of two radical species containing nitrogen and oxygen NO+NO2. ""Vegetation"" means any living plants e.g. trees, shrubs, grass. ""Litter"" is dead plant material in or above the soil."
Emon.fNProduct,nitrogen_mass_flux_into_forestry_and_agricultural_products_due_to_anthropogenic_land_use_or_land_cover_change,fNProduct,kg m-2 s-1,Deforested or Harvested Biomass as a Result of Anthropogenic Land-Use or Change,"When land use change results in deforestation of natural vegetation (trees or grasslands) then natural biomass is removed. The treatment of deforested biomass differs significantly across models, but it should be straight-forward to compare deforested biomass across models."
Emon.fNVegLitter,nitrogen_mass_flux_into_litter_from_vegetation,fNVegLitter,kg m-2 s-1,Total Nitrogen Mass Flux from Vegetation to Litter,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. ""Litter"" is dead plant material in or above the soil. ""Vegetation"" means any living plants e.g. trees, shrubs, grass."
Emon.fNVegSoil,nitrogen_mass_flux_into_soil_from_vegetation_excluding_litter,fNVegSoil,kg m-2 s-1,Total Nitrogen Mass Flux from Vegetation Directly to Soil,"In some models part of nitrogen (e.g., root exudate) can go directly into the soil pool without entering litter."
Emon.fNdep,minus_tendency_of_atmosphere_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_deposition,fNdep,kg m-2 s-1,Dry and Wet Deposition of Reactive Nitrogen onto Land,Surface deposition rate of nitrogen.
Emon.fNfert,tendency_of_soil_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_fertilization,fNfert,kg m-2 s-1,Total Nitrogen Added for Cropland Fertilisation (Artificial and Manure),"Total Nitrogen added for cropland fertilisation (artificial and manure). Relative to total land area of a grid cell, not relative to agricultural area"
Emon.fNgas,surface_upward_mass_flux_of_nitrogen_compounds_expressed_as_nitrogen,fNgas,kg m-2 s-1,"Total Nitrogen Lost to the Atmosphere (Sum of NHx, NOx, N2O, N2)",Total flux of Nitrogen from the land into the atmosphere.
Emon.fNgasFire,surface_upward_mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_due_to_emission_from_fires,fNgasFire,kg m-2 s-1,"Total Nitrogen Lost to the Atmosphere (Including NHx, NOx, N2O, N2) from Fire",Flux of Nitrogen from the land into the atmosphere due to fire
Emon.fNgasNonFire,surface_upward_mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_due_to_all_land_processes_excluding_fires,fNgasNonFire,kg m-2 s-1,"Total Nitrogen Lost to the Atmosphere (Including NHx, NOx, N2O, N2) from All Processes Except Fire",Flux of Nitrogen from the land into the atmosphere due to all processes other than fire
