CMIP6 Compund Name,CF Standard Name,Physical Parameter,Units,Title,Description
Emon.rsds,surface_downwelling_shortwave_flux_in_air,rsds,W m-2,Surface Downwelling Shortwave Radiation over Land,Surface Downwelling Shortwave Radiation over land. Can be used for computation of surface albedo.
Emon.rsdss,surface_downwelling_shortwave_flux_in_air,rsdss,W m-2,Surface Downwelling Shortwave Radiation over Snow,Surface Downwelling Shortwave Radiation over the portion of a land grid cell covered by snow but not by ice. Can be used for computation of surface albedo.
Emon.rsus,surface_upwelling_shortwave_flux_in_air,rsus,W m-2,Surface Upwelling Shortwave Radiation over Land,Surface Upwelling Shortwave Radiation over land. Can be used for computation of surface albedo.
Emon.rsuss,surface_upwelling_shortwave_flux_in_air,rsuss,W m-2,Surface Upwelling Shortwave Radiation over Snow,Surface Upwelling Shortwave Radiation over the portion of a land grid cell covered by snow. Can be used for computation of surface albedo.
Emon.sweLut,lwe_thickness_of_surface_snow_amount,sweLut,m,Snow Water Equivalent on Land-Use Tile,"The surface called ""surface"" means the lower boundary of the atmosphere. ""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. Surface amount refers to the amount on the ground, excluding that on the plant or vegetation canopy."
Emon.tasLut,air_temperature,tasLut,K,Near-Surface Air Temperature on Land Use Tile,"Air temperature is the bulk temperature of the air, not the surface (skin) temperature."
Emon.treeFracBdlDcd,area_fraction,treeFracBdlDcd,%,Broadleaf Deciduous Tree Area Percentage,This is the percentage of the entire grid cell that is covered by broadleaf deciduous trees.
Emon.treeFracBdlEvg,area_fraction,treeFracBdlEvg,%,Broadleaf Evergreen Tree Area Percentage,This is the percentage of the entire grid cell that is covered by broadleaf evergreen trees.
Emon.treeFracNdlDcd,area_fraction,treeFracNdlDcd,%,Needleleaf Deciduous Tree Area Percentage,This is the percentage of the entire grid cell that is covered by needleleaf deciduous trees.
Emon.treeFracNdlEvg,area_fraction,treeFracNdlEvg,%,Needleleaf Evergreen Tree Area Percentage,This is the percentage of the entire grid cell that is covered by needleleaf evergreen trees.
Emon.tslsiLut,surface_temperature,tslsiLut,K,Surface Temperature on Landuse Tile,Surface temperature (i.e. temperature at which long-wave radiation emitted)
Emon.vegFrac,area_fraction,vegFrac,%,Total Vegetated Percentage Cover,"Percentage of grid cell that is covered by vegetation.This SHOULD be the sum of tree, grass (natural and pasture), crop and shrub fractions."
Emon.vegHeight,canopy_height,vegHeight,m,Height of the Vegetation Canopy,Vegetation height averaged over all vegetation types and over the vegetated fraction of a grid cell.
Emon.vegHeightGrass,canopy_height,vegHeightGrass,m,Height of Grass,Vegetation height averaged over the grass fraction of a grid cell.
Emon.vegHeightShrub,canopy_height,vegHeightShrub,m,Height of Shrubs,Vegetation height averaged over the shrub fraction of a grid cell.
Emon.vegHeightTree,canopy_height,vegHeightTree,m,Height of Trees,Vegetation height averaged over the tree fraction of a grid cell.
Emon.wetlandCH4,surface_net_upward_mass_flux_of_methane_due_to_emission_from_wetland_biological_processes,wetlandCH4,kg m-2 s-1,Grid Averaged Methane Emissions from Wetlands,"Net upward flux of methane (NH4) from wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season)."
Emon.wetlandCH4cons,surface_downward_mass_flux_of_methane_due_to_wetland_biological_consumption,wetlandCH4cons,kg m-2 s-1,Grid Averaged Methane Consumption (Methanotrophy) from Wetlands,"Biological consumption (methanotrophy) of methane (NH4) by wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season)."
Emon.wetlandCH4prod,surface_upward_mass_flux_of_methane_due_to_emission_from_wetland_biological_production,wetlandCH4prod,kg m-2 s-1,Grid Averaged Methane Production (Methanogenesis) from Wetlands,"Biological emissions (methanogenesis) of methane (NH4) from wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season)."
Emon.wetlandFrac,area_fraction,wetlandFrac,%,Wetland Percentage Cover,"Percentage of grid cell covered by wetland. Report only one year if  fixed percentage is used, or time series if values are determined dynamically."
Eyr.baresoilFrac,area_fraction,baresoilFrac,%,Bare Soil Percentage Area Coverage,Percentage of entire grid cell  that is covered by bare soil.
Eyr.cLitterLut,litter_mass_content_of_carbon,cLitterLut,kg m-2,Carbon  in Above and Below-Ground Litter Pools on Land-Use Tiles,end of year values (not annual mean)
Eyr.cProductLut,carbon_mass_content_of_forestry_and_agricultural_products,cProductLut,kg m-2,Wood and Agricultural Product Pool Carbon Associated with Land-Use Tiles,"Anthropogenic pools associated with land use tiles into which harvests and cleared carbon are deposited before release into atmosphere PLUS any remaining anthropogenic pools that may be associated with lands which were converted into land use tiles during reported period. Examples of products include paper, cardboard, timber for construction, and crop harvest for food or fuel. Does NOT include residue which is deposited into soil or litter; end of year values (not annual mean)."
Eyr.cSoilLut,soil_mass_content_of_carbon,cSoilLut,kg m-2,Carbon in Soil Pool on Land-Use Tiles,end of year values (not annual mean)
Eyr.cVegLut,vegetation_carbon_content,cVegLut,kg m-2,Carbon in Vegetation on Land-Use Tiles,end of year values (not annual mean)
Eyr.cropFrac,area_fraction,cropFrac,%,Percentage Crop Cover,Percentage of entire grid cell  that is covered by crop.
Eyr.fracInLut,area_fraction,fracInLut,%,Annual Gross Percentage That Was Transferred into This Tile from Other Land-Use Tiles,Cumulative percentage transitions over the year; note that percentage should be reported as a percentage of atmospheric grid cell
Eyr.fracLut,area_fraction,fracLut,%,Percentage of Grid Cell for Each Land-Use Tile,"End of year values (not annual mean); note that percentage should be reported as percentage of land grid cell (example: frac_lnd = 0.5, frac_ocn = 0.5, frac_crop_lnd = 0.2 (of land portion of grid cell), then frac_lut(crop) = 0.5\*0.2 = 0.1)"
Eyr.fracOutLut,area_fraction,fracOutLut,%,Annual Gross Percentage of Land-Use Tile That Was Transferred into Other Land-Use Tiles,Cumulative percentage transitions over the year; note that percentage should be reported as percentage of atmospheric grid cell
Eyr.grassFrac,area_fraction,grassFrac,%,Natural Grass Area Percentage,Percentage of entire grid cell that is covered by natural grass.
Eyr.residualFrac,area_fraction,residualFrac,%,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,"Percentage of entire grid cell  that is land and is covered by  neither vegetation nor bare-soil (e.g., urban, ice, lakes, etc.)"
Eyr.shrubFrac,area_fraction,shrubFrac,%,Percentage Cover by Shrub,Percentage of entire grid cell  that is covered by shrub.
Eyr.treeFrac,area_fraction,treeFrac,%,Tree Cover Percentage,Percentage of entire grid cell  that is covered by trees.
Eyr.vegFrac,area_fraction,vegFrac,%,Total Vegetated Percentage Cover,"Percentage of grid cell that is covered by vegetation.This SHOULD be the sum of tree, grass (natural and pasture), crop and shrub fractions."
IfxAnt.areacellg,cell_area,areacellg,m2,Grid-Cell Area for Ice Sheet Variables,"Cell areas any grid used to report ice sheet variables. These cell areas should be defined to enable exact calculation of area integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere)"
IfxGre.areacellg,cell_area,areacellg,m2,Grid-Cell Area for Ice Sheet Variables,"Cell areas any grid used to report ice sheet variables. These cell areas should be defined to enable exact calculation of area integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere)"
ImonAnt.orog,surface_altitude,orog,m,Surface Altitude,"The surface called ""surface"" means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level."
ImonGre.orog,surface_altitude,orog,m,Surface Altitude,"The surface called ""surface"" means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level."
IyrAnt.orog,surface_altitude,orog,m,Surface Altitude,This is needed in case the ice sheet elevation changes in time
IyrAnt.sftgif,land_ice_area_fraction,sftgif,%,Land Ice Area Percentage,This is needed in case the ice sheet area changes in time
IyrGre.orog,surface_altitude,orog,m,Surface Altitude,This is needed in case the ice sheet elevation changes in time
IyrGre.sftgif,land_ice_area_fraction,sftgif,%,Land Ice Area Percentage,This is needed in case the ice sheet area changes in time
LImon.sftgif,land_ice_area_fraction,sftgif,%,Land Ice Area Percentage,"Percentage of grid cell covered by land ice (ice sheet, ice shelf, ice cap, glacier)"
Lmon.baresoilFrac,area_fraction,baresoilFrac,%,Bare Soil Percentage Area Coverage,Percentage of entire grid cell  that is covered by bare soil.
Lmon.burntFractionAll,area_fraction,burntFractionAll,%,Percentage of Entire Grid Cell That Is Covered by Burnt Vegetation (All Classes),Percentage of grid cell burned due to all fires including natural and anthropogenic fires and those associated with anthropogenic land use change
Lmon.c3PftFrac,area_fraction,c3PftFrac,%,Percentage Cover by C3 Plant Functional Type,"Percentage of entire grid cell  that is covered by C3 PFTs (including grass, crops, and trees)."
Lmon.c4PftFrac,area_fraction,c4PftFrac,%,Percentage Cover by C4 Plant Functional Type,Percentage of entire grid cell  that is covered by C4 PFTs (including grass and crops).
Lmon.cGeologicStorage,carbon_mass_content_of_geological_storage,cGeologicStorage,kg m-2,Carbon Mass in Geologic Storage,Mass of carbon that has been intentionally sequestered in geologic storage. The definition of geologic storage here is that it be stored for periods of time that are long as compared to the simulation.
Lmon.cLeaf,leaf_mass_content_of_carbon,cLeaf,kg m-2,Carbon Mass in Leaves,Carbon mass per unit area in leaves.
Lmon.cLitter,litter_mass_content_of_carbon,cLitter,kg m-2,Carbon Mass in Litter Pool,"""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""Content"" indicates a quantity per unit area. The sum of the quantities with standard names surface_litter_mass_content_of_carbon and subsurface_litter_mass_content_of_carbon has the standard name litter_mass_content_of_carbon."
Lmon.cProduct,carbon_mass_content_of_forestry_and_agricultural_products,cProduct,kg m-2,Carbon Mass in Products of Land-Use Change,Carbon mass per unit area in that has been removed from the environment through  land use change.
Lmon.cRoot,root_mass_content_of_carbon,cRoot,kg m-2,Carbon Mass in Roots,including fine and coarse roots.
Lmon.cVeg,vegetation_carbon_content,cVeg,kg m-2,Carbon Mass in Vegetation,Carbon mass per unit area in vegetation.
Lmon.cropFrac,area_fraction,cropFrac,%,Percentage Crop Cover,Percentage of entire grid cell  that is covered by crop.
Lmon.evspsblsoi,water_evaporation_flux_from_soil,evspsblsoi,kg m-2 s-1,Water Evaporation from Soil,includes sublimation.
Lmon.evspsblveg,water_evaporation_flux_from_canopy,evspsblveg,kg m-2 s-1,Evaporation from Canopy,the canopy evaporation+sublimation (if present in model).
Lmon.fFire,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires_excluding_anthropogenic_land_use_change,fFire,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Excluding Land-Use Change [kgC m-2 s-1],"CO2 emissions (expressed as a carbon mass flux) from natural fires + human ignition fires as calculated by the fire module of the DGVM, but excluding any CO2 flux from fire included in fLuc, defined below (CO2 Flux to Atmosphere from Land Use Change)."
Lmon.fHarvestToGeologicStorage,mass_flux_of_carbon_from_biomass_into_geological_storage,fHarvestToGeologicStorage,kg m-2 s-1,Harvested Biomass That Goes into Geological Storage,"Flux of carbon harvested from biomass that goes into geologic storage for the purposes of intentional carbon dioxide removal, via efforts such as bioenergy with carbon capture and storage (BECCS) or biomass removal and storage (BiCRS). The definition of geologic storage here is that the resulting carbon be  stored for a period of time that is long relative to that of the simulation."
Lmon.fLitterSoil,carbon_mass_flux_into_soil_from_litter,fLitterSoil,kg m-2 s-1,Total Carbon Mass Flux from Litter to Soil,Carbon mass flux per unit area into soil from litter (dead plant material in or above the soil).
Lmon.fVegLitter,mass_flux_of_carbon_into_litter_from_vegetation,fVegLitter,kg m-2 s-1,Total Carbon Mass Flux from Vegetation to Litter,"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. ""Vegetation"" means any living plants e.g. trees, shrubs, grass. ""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. The sum of the quantities with standard names mass_flux_of_carbon_into_litter_from_vegetation_due_to_mortality and mass_flux_of_carbon_into_litter_from_vegetation_due_to_senescence is mass_flux_of_carbon_into_litter_from_vegetation."
Lmon.fVegSoil,carbon_mass_flux_into_soil_from_vegetation_excluding_litter,fVegSoil,kg m-2 s-1,Total Carbon Mass Flux from Vegetation Directly to Soil,"In some models part of carbon (e.g., root exudate) can go directly into the soil pool without entering litter."
Lmon.gpp,gross_primary_productivity_of_biomass_expressed_as_carbon,gpp,kg m-2 s-1,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],"The rate of synthesis of biomass from inorganic precursors by autotrophs (""producers"") expressed as the mass of carbon which it contains. For example, photosynthesis in plants or phytoplankton. The producers also respire some of this biomass and the difference is referred to as the net primary production."
Lmon.grassFrac,area_fraction,grassFrac,%,Natural Grass Area Percentage,Percentage of entire grid cell that is covered by natural grass.
Lmon.lai,leaf_area_index,lai,1,Leaf Area Index,A ratio obtained by dividing the total upper leaf surface area of vegetation by the (horizontal) surface area of the land on which it grows.
Lmon.landCoverFrac,area_fraction,landCoverFrac,%,Percentage of Area by Vegetation or Land-Cover Category,"The categories may differ from model to model, depending on their  PFT definitions.   This may include natural PFTs, anthropogenic PFTs, bare soil, lakes, urban areas, etc.   Sum of all should equal the fraction of the grid-cell that is land."
Lmon.mrro,runoff_flux,mrro,kg m-2 s-1,Total Runoff,"the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell."
Lmon.mrros,surface_runoff_flux,mrros,kg m-2 s-1,Surface Runoff,the total surface runoff leaving the land portion of the grid cell.
Lmon.mrso,mass_content_of_water_in_soil,mrso,kg m-2,Total Soil Moisture Content,the mass per unit area  (summed over all soil layers) of water in all phases.
Lmon.mrsos,mass_content_of_water_in_soil_layer,mrsos,kg m-2,Moisture in Upper Portion of Soil Column,the mass of water in all phases in a thin surface soil layer.
Lmon.nbp,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,nbp,kg m-2 s-1,Carbon Mass Flux out of Atmosphere Due to Net Biospheric Production on Land [kgC m-2 s-1],"This is the net mass flux of carbon between land and atmosphere calculated as photosynthesis MINUS the sum of  plant and soil respiration, carbonfluxes  from fire, harvest, grazing  and land use change. Positive flux  is into the land."
Lmon.npp,net_primary_productivity_of_biomass_expressed_as_carbon,npp,kg m-2 s-1,Net Primary Production on Land as Carbon Mass Flux [kgC m-2 s-1],"""Production of carbon"" means the production of biomass expressed as the mass of carbon which it contains. Net primary production is the excess of gross primary production (rate of synthesis of biomass from inorganic precursors) by autotrophs (""producers""), for example, photosynthesis in plants or phytoplankton, over the rate at which the autotrophs themselves respire some of this biomass. ""Productivity"" means production per unit area. The phrase ""expressed_as"" is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
Lmon.nppLeaf,net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_leaves,nppLeaf,kg m-2 s-1,Net Primary Production Allocated to Leaves as Carbon Mass Flux [kgC m-2 s-1],This is the rate of carbon uptake by leaves due to NPP
Lmon.nppRoot,net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_roots,nppRoot,kg m-2 s-1,Net Primary Production Allocated to Roots as Carbon Mass Flux [kgC m-2 s-1],This is the rate of carbon uptake by roots due to NPP
Lmon.pastureFrac,area_fraction,pastureFrac,%,Percentage of Land Which Is Anthropogenic Pasture,fraction of entire grid cell  that is covered by anthropogenic pasture.
Lmon.prveg,precipitation_flux_onto_canopy,prveg,kg m-2 s-1,Precipitation onto Canopy,the precipitation flux that is intercepted by the vegetation canopy (if present in model) before reaching the ground.
Lmon.ra,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,ra,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],Carbon mass flux per unit area into atmosphere due to autotrophic respiration on land (respiration by producers) [see rh for heterotrophic production]
Lmon.residualFrac,area_fraction,residualFrac,%,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,"fraction of entire grid cell  that is land and is covered by ""non-vegetation"" and ""non-bare-soil"" (e.g., urban, ice, lakes, etc.)"
Lmon.rh,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,rh,kg m-2 s-1,Total Heterotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],Carbon mass flux per unit area into atmosphere due to heterotrophic respiration on land (respiration by consumers)
Lmon.shrubFrac,area_fraction,shrubFrac,%,Percentage Cover by Shrub,fraction of entire grid cell  that is covered by shrub.
Lmon.tran,transpiration_flux,tran,kg m-2 s-1,Transpiration,Transpiration (may include dew formation as a negative flux).
Lmon.treeFrac,area_fraction,treeFrac,%,Tree Cover Percentage,fraction of entire grid cell  that is covered by trees.
Lmon.tsl,soil_temperature,tsl,K,Temperature of Soil,"Temperature of each soil layer.  Reported as ""missing"" for grid cells occupied entirely by ""sea""."
day.irrDem,surface_downward_mass_flux_of_water_due_to_irrigation,irrDem,kg m-2 s-1,irrigation water demand,the total amount of irrigation water demand
day.irrGw,surface_downward_mass_flux_of_water_due_to_irrigation,irrGw,kg m-2 s-1,irrigation water withdrawal from groundwater,"the amount of water withdrawal for irrigation from ground water, including deep soil water, confined and unconfined aquifer, etc"
day.irrLut,surface_downward_mass_flux_of_water_due_to_irrigation,irrLut,kg m-2 s-1,irrigation water withdrawal,the total amount of water withdrawal from multiple sources
day.irrSurf,surface_downward_mass_flux_of_water_due_to_irrigation,irrSurf,kg m-2 s-1,irrigation water withdrawal from surface water,"the amount of water withdrawal for irrigation from surface water, including rivers, lakes, reservoirs, etc.)"
day.mrro,runoff_flux,mrro,kg m-2 s-1,Total Runoff,"computed as the total runoff (including ""drainage"" through the base of the soil model) leaving the land portion of the grid cell divided by the land area in the grid cell."
day.mrso,mass_content_of_water_in_soil,mrso,kg m-2,Total Soil Moisture Content,the mass per unit area  (summed over all soil layers) of water in all phases.
day.mrsos,mass_content_of_water_in_soil_layer,mrsos,kg m-2,Moisture in Upper Portion of Soil Column,the mass of water in all phases in a thin surface soil layer.
day.tslsi,surface_temperature,tslsi,K,Surface Temperature Where Land or Sea Ice,Surface temperature of all surfaces except open ocean.
fx.areacellr,cell_area,areacellr,m2,Grid-Cell Area for River Model Variables,"Cell areas for any grid used to report river model variables (may be the same as for atmospheric variables). These cell areas should be defined to enable exact calculation of area integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere)."
fx.depthl,depth,depthl,m,Depth of Lake Below the Surface,"Depth of lakes, if this quantity is present in the model. If computed via volume and area, then this is lake volume divided by lake area."
fx.depthsl,depth,depthsl,m,Total (Cumulative) Thickness of All Soil Layers,Total (cumulative) thickness of all soil layers. This is the sum of individual thicknesses of all soil layers.
fx.mrsofc,soil_moisture_content_at_field_capacity,mrsofc,kg m-2,Capacity of Soil to Store Water (Field Capacity),"reported ""where land"": divide the total water holding capacity of all the soil in the grid cell by the land area in the grid cell;  reported as ""missing"" where the land fraction is 0."
fx.orog,surface_altitude,orog,m,Surface Altitude,"height above the geoid; as defined here, ""the geoid"" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Reported here is the height above the present-day geoid (0.0 over ocean)."
fx.orogSouth30,surface_altitude,orog,m,Surface Altitude,"height above the geoid; as defined here, ""the geoid"" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Reported here is the height above the present-day geoid (0.0 over ocean)."
fx.rootd,root_depth,rootd,m,Maximum Root Depth,"report the maximum soil depth reachable by plant roots (if defined in model), i.e., the maximum soil depth from which they can extract moisture; report as ""missing"" where the land fraction is 0."
fx.sftgif,land_ice_area_fraction,sftgif,%,Land Ice Area Percentage,"fraction of grid cell occupied by ""permanent"" ice (i.e., glaciers)."
fx.sftlaf,area_fraction,sftlaf,%,Fraction of the Grid Cell Occupied by Lake,Fraction of horizontal land grid cell area occupied by lake.
